customer_id,first_name,last_name,email,phone_number,age,gender,location,branch,account_number,account_type,account_created_date,income,account_balance,avg_monthly_balance,credit_score,mobile_app
101000,Pari,Dutta,ayush.patel0@ixc.com,9869728254,36,Male,Vadodara,Vadodara,1010002411,Current,11/18/2009,30687.04,33009.22,28360.57,501,FALSE
101001,Tara,Rastogi,samar.goswami1@ixc.com,9931967690,46,Other,Mumbai,Mumbai,1010012411,Current,1/21/2019,68971.02,42320.75,30813.01,802,FALSE
101002,Ishan,Mukherjee,tara.ghosh2@ixc.com,9848755457,70,Other,Patna,Patna,1010022411,Current,10/11/2006,60532.14,43384.61,21906.8,364,FALSE
101003,Aadi,Chatterjee,kavya.shah3@ixc.com,,64,Female,Nagpur,Nagpur,1010032411,Salary,7/8/2018,26288.66,63887.58,53853.63,674,TRUE
101004,Mihir,Pandey,dev.patel4@ixc.com,9611203869,57,Other,Mumbai,Mumbai,1010042411,Salary,7/17/2021,80123.73,36107.8,21163.63,,TRUE
101005,Siddharth,Goyal,vanya.dubey5@ixc.com,9980182554,35,Female,Bangalore,Bangalore,1010052411,Current,9/24/2021,47958.03,38149.47,32615.69,,FALSE
101006,Divij,Chakraborty,krishna.kumar6@ixc.com,9622088912,29,Male,Bhopal,Bhopal,1010062411,Current,6/2/2002,67998.72,40594.8,31710.66,,FALSE
101007,Keyaan,Agarwal,umang.mishra7@ixc.com,9982801764,22,Other,Kolkata,Kolkata,1010072411,Current,11/11/2000,48092.21,15290.82,13134.25,808,FALSE
101008,Arya,Goswami,tanya.nambiar8@ixc.com,9812621312,30,Female,Bhopal,Bhopal,1010082411,Savings,7/21/2014,67601.3,72716.53,37641.66,764,FALSE
101009,Atharv,Tiwari,mahi.modi9@ixc.com,9640764540,63,Female,Surat,Surat,1010092411,Current,8/29/2009,97456.96,22056.5,15889.71,645,TRUE
101010,Umang,Pillai,shayna.verma10@ixc.com,9949954997,833,Other,Indore,Indore,1010102411,Current,4/22/2016,75943.61,30693.7,22004.54,754,TRUE
101011,Shiv,Naidu,ananya.luthra11@ixc.com,9848511757,26,Female,Pune,Pune,1010112411,Savings,12/17/2000,81367.88,27553.32,23897.53,417,FALSE
101012,Arya,Raza,manav.sinha12@ixc.com,9795763576,58,Male,Pimpri-Chinchwad,Pimpri-Chinchwad,1010122411,Savings,5/26/2018,18188.18,80991.23,72584.47,821,FALSE
101013,Rayaan,Saxena,dev.goyal13@ixc.com,9789425892,34,Other,Mumbai,Mumbai,1010132411,Current,10/19/2006,17072.47,35753.08,25720.06,636,FALSE
101014,Anvi,Rao,advik.dwivedi14@ixc.com,9890511987,54,Other,Surat,Surat,1010142411,Current,7/4/2003,55866.3,68009.12,39127.85,626,TRUE
101015,Rudra,Nambiar,zain.mehta15@ixc.com,9684618334,27,Other,Bhopal,Bhopal,1010152411,Salary,2/4/2020,34530.45,16796.83,13870.78,353,TRUE
101016,Mohan,Pillai,aryan.chopra16@ixc.com,9617196416,29,Male,Kolkata,Kolkata,1010162411,Current,7/11/2010,53187.38,23159.92,14361.15,,TRUE
101017,Mihir,Goyal,mohammed.bajpai17@ixc.com,9978206185,55,Male,Vadodara,Vadodara,1010172411,Savings,9/26/2006,30082.09,45652.47,38552.14,524,FALSE
101018,Kiran,Thakur,yuvraj.malhotra18@ixc.com,9883535012,62,Other,Indore,Indore,1010182411,Current,11/28/2001,50773.9,70398.47,37535.47,572,FALSE
101019,Kiran,Walia,shayna.malhotra19@ixc.com,9835917833,42,Other,Thane,Thane,1010192411,Savings,4/5/2007,16429.41,41422.4,30879.86,455,TRUE
101020,Trisha,Saxena,ishan.sood20@ixc.com,9917419513,50,Other,,Mumbai,1010202411,Savings,1/21/2015,32782.8,52689.6,27371.51,695,FALSE
101021,Mohammed,Sen,mohan.modi21@ixc.com,9827474738,46,Other,Chennai,Chennai,1010212411,Current,9/18/2008,60995.16,19568.04,13557.88,468,TRUE
101022,Ahana,Grover,zara.trivedi22@ixc.com,9829614879,20,Female,Nagpur,Nagpur,1010222411,Current,8/11/2010,,25716.7,22610.55,393,TRUE
101023,Laksh,Mukherjee,aditya.thakur23@ixc.com,9657040338,54,Male,Vadodara,Vadodara,1010232411,Current,3/4/2007,97014.33,26008.11,17359.11,598,TRUE
100025,Dev,Kumar,dev.kumar25@ixc.com,9724982770,33,Male,Pune,Pune,1000252411,Savings,12/15/2017,95376.52,43901.4,25790.11,367,FALSE
100026,Jai,Mukherjee,om.dutta26@ixc.com,9758233453,44,Male,Pimpri-Chinchwad,Pimpri-Chinchwad,1000262411,Savings,8/20/2010,75917.51,79091.72,44464.72,,FALSE
100027,Harsh,Acharya,ira.kapoor27@ixc.com,9846931964,24,Female,Nagpur,Nagpur,1000272411,Savings,4/27/2000,55634.15,53078.2,38259.63,495,FALSE
100028,Parth,Pillai,charu.prasad28@ixc.com,9614920355,30,Male,Patna,Patna,1000282411,Savings,7/28/2005,42916.08,88740.42,60464.54,462,FALSE
100029,Anvi,MeFalsen,ansh.yadav29@ixc.com,9885357382,60,Male,Kolkata,Kolkata,1000292411,Salary,8/23/2001,85138.32,40045.24,35872.9,480,FALSE
100030,Falguni,Acharya,neel.raza30@ixc.com,9696441134,32,Male,Delhi,Delhi,1000302411,Current,7/26/2021,61894.38,44078.72,33595.72,843,FALSE
100031,Keyaan,Iyer,kabir.bansal31@ixc.com,9789992583,26,Male,Pune,Pune,1000312411,Savings,7/19/2012,32200.01,15948.93,14338.33,580,FALSE
100032,Zara,Sinha,keyaan.iyer32@ixc.com,9795048873,27,Male,Hyderabad,Hyderabad,1000322411,Savings,10/17/2017,91792.79,28600.94,20629.58,504,FALSE
100033,Samar,Vora,vivaan.rao33@ixc.com,9892527660,66,Male,Pimpri-Chinchwad,Pimpri-Chinchwad,1000332411,Savings,3/26/2009,83675.62,51889.36,36334.72,,TRUE
100034,Vivaan,Chawla,tanish.pathan34@ixc.com,9726410991,56,Male,Visakhapatnam,Visakhapatnam,1000342411,Current,12/29/2017,49398.22,90965.91,49553.41,593,FALSE
100035,Yuvraj,Dutta,aadhya.reddy35@ixc.com,9619196969,54,Female,Surat,Surat,1000352411,Savings,11/18/2007,39592.88,81349.74,46048.08,365,FALSE
100036,Yuvaan,Gupta,jai.ghosh36@ixc.com,9786552312,66,Male,Pimpri-Chinchwad,Pimpri-Chinchwad,1000362411,Current,12/4/2006,69010.68,27389.89,17399,371,FALSE
100037,Ayaan,Malhotra,kartik.mukherjee37@ixc.com,9634582437,22,Male,Mumbai,Mumbai,1000372411,Current,5/31/2019,92193.58,22733.06,16269.9,666,FALSE
100038,Arnav,Verma,pari.dave38@ixc.com,9996704330,68,Male,Surat,Surat,1000382411,Current,9/15/2002,87842.9,32532.54,24769.7,783,FALSE
100039,Ishaan,Pandey,ritvik.sinha39@ixc.com,9730423525,33,Male,Hyderabad,Hyderabad,1000392411,Savings,1/20/2009,53554.15,56940.54,46873.96,624,FALSE
